Year,County,PDI Number,PDI,Observed,Expected,"Risk Adjusted Rate Per 100,000 People",Difference in Rates
2009,Kings,PDI_14,Asthma,357.2,336.56,257.73,20.65
2010,Kings,PDI_14,Asthma,306.85,286.35,220.5,20.5
2011,Kings,PDI_14,Asthma,318.5,289.56,226.89,28.93
2012,Kings,PDI_14,Asthma,310.87,285.36,229.19,25.51
2009,Kings,PDI_15,Diabetes Short-term Complications,31.61,32.56,26.91,-0.96
2010,Kings,PDI_15,Diabetes Short-term Complications,30.31,29.04,25.82,1.28
2011,Kings,PDI_15,Diabetes Short-term Complications,34.52,28.59,30.12,5.93
2012,Kings,PDI_15,Diabetes Short-term Complications,31.4,26.99,27.62,4.41
2009,Kings,PDI_16,Gastroenteritis,163.74,145.43,146.74,18.31
2010,Kings,PDI_16,Gastroenteritis,163.6,119.68,140.16,43.92
2011,Kings,PDI_16,Gastroenteritis,119.62,112.7,105.89,6.91
2012,Kings,PDI_16,Gastroenteritis,123.17,98.21,110.22,24.96
2009,Kings,PDI_18,Urinary Tract Infection,60.42,49.97,52.9,10.45
2010,Kings,PDI_18,Urinary Tract Infection,57.82,46.36,52.49,11.46
2011,Kings,PDI_18,Urinary Tract Infection,49.71,44.02,44.66,5.69
2012,Kings,PDI_18,Urinary Tract Infection,42.56,35.29,41.03,7.27
2009,Kings,PDI_90,Pediatric Quality Overall Composite,403.91,350.1,308.57,53.81
2010,Kings,PDI_90,Pediatric Quality Overall Composite,364.95,310.15,277.17,54.8
2011,Kings,PDI_90,Pediatric Quality Overall Composite,348.94,302.22,266.97,46.72
2012,Kings,PDI_90,Pediatric Quality Overall Composite,347.71,288.73,270.56,58.98
2009,Kings,PDI_91,Pediatric Quality Acute Composite,116.54,82.32,103.67,34.22
2010,Kings,PDI_91,Pediatric Quality Acute Composite,119.58,79.95,106.71,39.64
2011,Kings,PDI_91,Pediatric Quality Acute Composite,83.94,69.2,77.37,14.74
2012,Kings,PDI_91,Pediatric Quality Acute Composite,86.11,62.04,80.37,24.07
2009,Kings,PDI_92,Pediatric Quality Chronic Composite,287.37,267.77,208.44,19.6
2010,Kings,PDI_92,Pediatric Quality Chronic Composite,245.37,230.21,175.03,15.16
2011,Kings,PDI_92,Pediatric Quality Chronic Composite,264.99,233.02,190.42,31.98
2012,Kings,PDI_92,Pediatric Quality Chronic Composite,261.61,226.69,192.44,34.92
2009,Lewis,PDI_14,Asthma,51.97,134.45,93.86,-82.48
2010,Lewis,PDI_14,Asthma,72.22,104.13,142.71,-31.91
2011,Lewis,PDI_14,Asthma,53.02,104.34,104.83,-51.32
2012,Lewis,PDI_14,Asthma,49.46,95.37,109.11,-45.91
2009,Lewis,PDI_15,Diabetes Short-term Complications,96.64,22.95,116.7,73.69
2010,Lewis,PDI_15,Diabetes Short-term Complications,50.74,20.1,62.43,30.64
2011,Lewis,PDI_15,Diabetes Short-term Complications,49.36,21.12,58.3,28.24
2012,Lewis,PDI_15,Diabetes Short-term Complications,0,17.94,0,-17.94
2009,Lewis,PDI_16,Gastroenteritis,115.82,111.34,135.58,4.48
2010,Lewis,PDI_16,Gastroenteritis,51.62,73.24,72.26,-21.62
2011,Lewis,PDI_16,Gastroenteritis,101.35,80.69,125.31,20.66
2012,Lewis,PDI_16,Gastroenteritis,15.78,59.33,23.37,-43.56
2009,Lewis,PDI_18,Urinary Tract Infection,16.55,29.55,24.49,-13.01
2010,Lewis,PDI_18,Urinary Tract Infection,51.62,29.46,73.73,22.15
2011,Lewis,PDI_18,Urinary Tract Infection,33.78,26.91,49.65,6.87
2012,Lewis,PDI_18,Urinary Tract Infection,15.78,24.4,22,-8.62
2009,Lewis,PDI_90,Pediatric Quality Overall Composite,241.6,161.72,399.56,79.88
2010,Lewis,PDI_90,Pediatric Quality Overall Composite,228.31,135.9,395.74,92.41
2011,Lewis,PDI_90,Pediatric Quality Overall Composite,148.08,137.88,248.31,10.19
2012,Lewis,PDI_90,Pediatric Quality Overall Composite,68.62,119.11,129.43,-50.49
2009,Lewis,PDI_91,Pediatric Quality Acute Composite,72.48,57.53,92.26,14.95
2010,Lewis,PDI_91,Pediatric Quality Acute Composite,76.1,55.54,97.74,20.56
2011,Lewis,PDI_91,Pediatric Quality Acute Composite,74.04,51.58,91.54,22.45
2012,Lewis,PDI_91,Pediatric Quality Acute Composite,22.87,41.87,31.64,-18.99
2009,Lewis,PDI_92,Pediatric Quality Chronic Composite,169.12,104.19,315.26,64.93
2010,Lewis,PDI_92,Pediatric Quality Chronic Composite,152.21,80.35,311.06,71.85
2011,Lewis,PDI_92,Pediatric Quality Chronic Composite,74.04,86.3,143.65,-12.26
2012,Lewis,PDI_92,Pediatric Quality Chronic Composite,45.75,77.24,98.76,-31.49
2009,Livingston,PDI_14,Asthma,120.14,119.12,244.91,1.02
2010,Livingston,PDI_14,Asthma,104.73,97.02,222.12,7.71
2011,Livingston,PDI_14,Asthma,50.92,96.19,109.19,-45.28
2012,Livingston,PDI_14,Asthma,60.7,95.99,133.04,-35.29
2009,Livingston,PDI_15,Diabetes Short-term Complications,0,23.11,0,-23.11
2010,Livingston,PDI_15,Diabetes Short-term Complications,11.85,20.39,14.37,-8.54
2011,Livingston,PDI_15,Diabetes Short-term Complications,22.96,21.18,27.05,1.78
2012,Livingston,PDI_15,Diabetes Short-term Complications,20.36,18.74,25.78,1.62
2009,Livingston,PDI_16,Gastroenteritis,73.51,105.4,90.89,-31.9
2010,Livingston,PDI_16,Gastroenteritis,41.46,71.1,59.8,-29.63
2011,Livingston,PDI_16,Gastroenteritis,56.53,78.54,71.81,-22.01
2012,Livingston,PDI_16,Gastroenteritis,7.23,59.9,10.6,-52.67
2009,Livingston,PDI_18,Urinary Tract Infection,16.34,29.31,24.38,-12.97
2010,Livingston,PDI_18,Urinary Tract Infection,8.29,29.69,11.76,-21.39
2011,Livingston,PDI_18,Urinary Tract Infection,16.15,27.53,23.2,-11.38
2012,Livingston,PDI_18,Urinary Tract Infection,7.23,25.49,9.65,-18.26
2009,Livingston,PDI_90,Pediatric Quality Overall Composite,150.39,157.99,254.6,-7.59
2010,Livingston,PDI_90,Pediatric Quality Overall Composite,94.8,136.84,163.18,-42.05
2011,Livingston,PDI_90,Pediatric Quality Overall Composite,68.89,137.21,116.08,-68.33
2012,Livingston,PDI_90,Pediatric Quality Overall Composite,81.43,124.42,147.03,-43
2009,Livingston,PDI_91,Pediatric Quality Acute Composite,57.84,57.62,73.51,0.22
2010,Livingston,PDI_91,Pediatric Quality Acute Composite,11.85,56.54,14.95,-44.69
2011,Livingston,PDI_91,Pediatric Quality Acute Composite,22.96,52.1,28.11,-29.13
2012,Livingston,PDI_91,Pediatric Quality Acute Composite,10.18,44.04,13.38,-33.86
2009,Livingston,PDI_92,Pediatric Quality Chronic Composite,92.55,100.36,179.11,-7.81
2010,Livingston,PDI_92,Pediatric Quality Chronic Composite,82.95,80.3,169.63,2.65
2011,Livingston,PDI_92,Pediatric Quality Chronic Composite,45.92,85.12,90.34,-39.19
2012,Livingston,PDI_92,Pediatric Quality Chronic Composite,71.25,80.38,147.81,-9.14
2009,Madison,PDI_14,Asthma,120.64,117.32,249.69,3.31
2010,Madison,PDI_14,Asthma,93.96,94.85,203.84,-0.89
2011,Madison,PDI_14,Asthma,63.2,95.14,137.03,-31.94
2012,Madison,PDI_14,Asthma,57.02,99.11,121.05,-42.08
2009,Madison,PDI_15,Diabetes Short-term Complications,19.07,23.25,22.73,-4.18
2010,Madison,PDI_15,Diabetes Short-term Complications,0,20.73,0,-20.73
2011,Madison,PDI_15,Diabetes Short-term Complications,38.11,21.34,44.56,16.77
2012,Madison,PDI_15,Diabetes Short-term Complications,8.53,19.27,10.5,-10.75
2009,Madison,PDI_16,Gastroenteritis,20.34,102.71,25.81,-82.37
2010,Madison,PDI_16,Gastroenteritis,110.27,69.26,163.24,41.01
2011,Madison,PDI_16,Gastroenteritis,87.06,77.17,112.56,9.89
2012,Madison,PDI_16,Gastroenteritis,60.53,59.86,88.87,0.67
2009,Madison,PDI_18,Urinary Tract Infection,33.89,28.71,51.64,5.18
2010,Madison,PDI_18,Urinary Tract Infection,48.24,29.26,69.39,18.98
2011,Madison,PDI_18,Urinary Tract Infection,20.09,26.64,29.82,-6.55
2012,Madison,PDI_18,Urinary Tract Infection,60.53,25.44,80.94,35.09
2009,Madison,PDI_90,Pediatric Quality Overall Composite,152.54,158.48,257.43,-5.94
2010,Madison,PDI_90,Pediatric Quality Overall Composite,205.84,136.76,354.53,69.08
2011,Madison,PDI_90,Pediatric Quality Overall Composite,114.32,137.33,192.48,-23.01
2012,Madison,PDI_90,Pediatric Quality Overall Composite,85.25,129.27,148.17,-44.02
2009,Madison,PDI_91,Pediatric Quality Acute Composite,38.14,58.07,48.09,-19.93
2010,Madison,PDI_91,Pediatric Quality Acute Composite,147.03,56.78,184.72,90.25
2011,Madison,PDI_91,Pediatric Quality Acute Composite,47.63,52.22,58.18,-4.59
2012,Madison,PDI_91,Pediatric Quality Acute Composite,59.68,45.25,76.37,14.43
2009,Madison,PDI_92,Pediatric Quality Chronic Composite,114.41,100.41,221.3,13.99
2010,Madison,PDI_92,Pediatric Quality Chronic Composite,58.81,79.98,120.75,-21.17
2011,Madison,PDI_92,Pediatric Quality Chronic Composite,66.69,85.11,131.2,-18.42
2012,Madison,PDI_92,Pediatric Quality Chronic Composite,25.58,84.02,50.76,-58.44
2009,Monroe,PDI_14,Asthma,96.68,219.79,106.81,-123.11
2010,Monroe,PDI_14,Asthma,80.88,186.55,89.21,-105.67
2011,Monroe,PDI_14,Asthma,82.87,189.27,90.31,-106.4
2012,Monroe,PDI_14,Asthma,105.53,198.73,111.72,-93.2
2009,Monroe,PDI_15,Diabetes Short-term Complications,34.57,28.35,33.79,6.21
2010,Monroe,PDI_15,Diabetes Short-term Complications,41.15,25.45,39.99,15.7
2011,Monroe,PDI_15,Diabetes Short-term Complications,25.72,25.87,24.8,-0.15
2012,Monroe,PDI_15,Diabetes Short-term Complications,17.54,24.86,16.75,-7.32
2009,Monroe,PDI_16,Gastroenteritis,67.8,118.73,74.43,-50.93
2010,Monroe,PDI_16,Gastroenteritis,42.74,90.3,48.53,-47.56
2011,Monroe,PDI_16,Gastroenteritis,57.84,91.37,63.16,-33.53
2012,Monroe,PDI_16,Gastroenteritis,57.22,78.89,63.74,-21.67
2009,Monroe,PDI_18,Urinary Tract Infection,23,37.07,27.15,-14.07
2010,Monroe,PDI_18,Urinary Tract Infection,26.25,35.84,30.83,-9.58
2011,Monroe,PDI_18,Urinary Tract Infection,23.38,33.82,27.35,-10.43
2012,Monroe,PDI_18,Urinary Tract Infection,16.93,31.08,18.53,-14.15
2009,Monroe,PDI_90,Pediatric Quality Overall Composite,133.94,247.84,144.54,-113.9
2010,Monroe,PDI_90,Pediatric Quality Overall Composite,144.47,220.78,154.14,-76.31
2011,Monroe,PDI_90,Pediatric Quality Overall Composite,128.58,218.48,136.07,-89.91
2012,Monroe,PDI_90,Pediatric Quality Overall Composite,113.6,217.67,117.25,-104.08
2009,Monroe,PDI_91,Pediatric Quality Acute Composite,32.84,68.3,35.21,-35.46
2010,Monroe,PDI_91,Pediatric Quality Acute Composite,47.28,66.82,50.47,-19.54
2011,Monroe,PDI_91,Pediatric Quality Acute Composite,47.88,59.67,51.18,-11.79
2012,Monroe,PDI_91,Pediatric Quality Acute Composite,29.24,55.05,30.76,-25.81
2009,Monroe,PDI_92,Pediatric Quality Chronic Composite,101.11,179.54,109.38,-78.44
2010,Monroe,PDI_92,Pediatric Quality Chronic Composite,97.19,153.95,103.67,-56.76
2011,Monroe,PDI_92,Pediatric Quality Chronic Composite,80.69,158.81,85.08,-78.12
2012,Monroe,PDI_92,Pediatric Quality Chronic Composite,84.36,162.63,86.51,-78.26
2009,Montgomery,PDI_14,Asthma,106.32,156.85,164.6,-50.53
2010,Montgomery,PDI_14,Asthma,87.32,129.76,138.47,-42.44
2011,Montgomery,PDI_14,Asthma,132.09,127.65,213.46,4.44
2012,Montgomery,PDI_14,Asthma,53.28,138.54,80.91,-85.26
2009,Montgomery,PDI_15,Diabetes Short-term Complications,67.87,23.37,80.49,44.5
2010,Montgomery,PDI_15,Diabetes Short-term Complications,13.73,20.51,16.55,-6.78
2011,Montgomery,PDI_15,Diabetes Short-term Complications,13.21,21.58,15.27,-8.38
2012,Montgomery,PDI_15,Diabetes Short-term Complications,24.73,19.68,29.84,5.06
2009,Montgomery,PDI_16,Gastroenteritis,191.57,119.62,208.73,71.95
2010,Montgomery,PDI_16,Gastroenteritis,73.21,85.85,87.45,-12.63
2011,Montgomery,PDI_16,Gastroenteritis,80.28,88.5,90.5,-8.22
2012,Montgomery,PDI_16,Gastroenteritis,16.8,76.11,19.4,-59.31
2009,Montgomery,PDI_18,Urinary Tract Infection,27.37,35.22,34,-7.85
2010,Montgomery,PDI_18,Urinary Tract Infection,18.3,35.74,21.56,-17.43
2011,Montgomery,PDI_18,Urinary Tract Infection,35.68,32.8,43.01,2.88
2012,Montgomery,PDI_18,Urinary Tract Infection,25.2,30.58,28.04,-5.38
2009,Montgomery,PDI_90,Pediatric Quality Overall Composite,230.76,190.02,324.8,40.74
2010,Montgomery,PDI_90,Pediatric Quality Overall Composite,109.8,164.57,157.16,-54.77
2011,Montgomery,PDI_90,Pediatric Quality Overall Composite,145.27,163.89,204.96,-18.62
2012,Montgomery,PDI_90,Pediatric Quality Overall Composite,86.56,158.16,122.96,-71.6
2009,Montgomery,PDI_91,Pediatric Quality Acute Composite,81.44,63.19,94.39,18.26
2010,Montgomery,PDI_91,Pediatric Quality Acute Composite,54.9,61.53,63.65,-6.63
2011,Montgomery,PDI_91,Pediatric Quality Acute Composite,26.41,56.72,29.7,-30.31
2012,Montgomery,PDI_91,Pediatric Quality Acute Composite,12.37,50.02,14.32,-37.65
2009,Montgomery,PDI_92,Pediatric Quality Chronic Composite,149.32,126.83,228.66,22.49
2010,Montgomery,PDI_92,Pediatric Quality Chronic Composite,54.9,103.04,87.49,-48.14
2011,Montgomery,PDI_92,Pediatric Quality Chronic Composite,118.86,107.17,185.7,11.69
2012,Montgomery,PDI_92,Pediatric Quality Chronic Composite,74.19,108.14,114.41,-33.95
2009,Nassau,PDI_14,Asthma,168.35,193.25,211.55,-24.9
2010,Nassau,PDI_14,Asthma,137.4,161.4,175.17,-24
2011,Nassau,PDI_14,Asthma,148.48,162.18,188.84,-13.71
2012,Nassau,PDI_14,Asthma,155.24,166.94,195.65,-11.7
2009,Nassau,PDI_15,Diabetes Short-term Complications,22.39,25.69,24.16,-3.3
2010,Nassau,PDI_15,Diabetes Short-term Complications,12.99,22.98,13.98,-9.99
2011,Nassau,PDI_15,Diabetes Short-term Complications,13.34,23.22,14.34,-9.88
2012,Nassau,PDI_15,Diabetes Short-term Complications,10.67,21.73,11.66,-11.06
2009,Nassau,PDI_16,Gastroenteritis,112.99,114.52,128.59,-1.53
2010,Nassau,PDI_16,Gastroenteritis,85.53,86.03,101.93,-0.51
2011,Nassau,PDI_16,Gastroenteritis,116.1,86.38,134.09,29.72
2012,Nassau,PDI_16,Gastroenteritis,78.05,73.85,92.88,4.2
2009,Nassau,PDI_18,Urinary Tract Infection,41.36,37.51,48.25,3.86
2010,Nassau,PDI_18,Urinary Tract Infection,53.95,35.97,63.12,17.98
2011,Nassau,PDI_18,Urinary Tract Infection,44.88,33.52,52.96,11.36
2012,Nassau,PDI_18,Urinary Tract Infection,32.04,29.29,37.22,2.75
2009,Nassau,PDI_90,Pediatric Quality Overall Composite,176.72,226.37,208.8,-49.65
2010,Nassau,PDI_90,Pediatric Quality Overall Composite,148,198.09,175.99,-50.1
2011,Nassau,PDI_90,Pediatric Quality Overall Composite,164.68,195.59,194.69,-30.91
2012,Nassau,PDI_90,Pediatric Quality Overall Composite,151.61,191.09,178.25,-39.48
2009,Nassau,PDI_91,Pediatric Quality Acute Composite,51.44,66.8,56.39,-15.36
2010,Nassau,PDI_91,Pediatric Quality Acute Composite,57.99,64.64,64,-6.65
2011,Nassau,PDI_91,Pediatric Quality Acute Composite,60.26,58.13,66.12,2.14
2012,Nassau,PDI_91,Pediatric Quality Acute Composite,46.68,52.45,51.55,-5.76
2009,Nassau,PDI_92,Pediatric Quality Chronic Composite,125.27,159.56,152.49,-34.29
2010,Nassau,PDI_92,Pediatric Quality Chronic Composite,90.01,133.45,110.75,-43.45
2011,Nassau,PDI_92,Pediatric Quality Chronic Composite,104.42,137.46,127.2,-33.04
2012,Nassau,PDI_92,Pediatric Quality Chronic Composite,104.93,138.65,126.2,-33.72
2009,New York,PDI_14,Asthma,302.1,307.14,238.84,-5.05
2010,New York,PDI_14,Asthma,272.43,258.89,216.53,13.54
2011,New York,PDI_14,Asthma,303.08,255.95,244.26,47.13
2012,New York,PDI_14,Asthma,335.3,268.06,263.16,67.24
2009,New York,PDI_15,Diabetes Short-term Complications,24.14,27.34,24.47,-3.2
2010,New York,PDI_15,Diabetes Short-term Complications,20.1,23.94,20.77,-3.84
2011,New York,PDI_15,Diabetes Short-term Complications,18.87,24.32,19.35,-5.46
2012,New York,PDI_15,Diabetes Short-term Complications,37.45,24.52,36.26,12.93
2009,New York,PDI_16,Gastroenteritis,81.41,160.82,65.98,-79.41
2010,New York,PDI_16,Gastroenteritis,78.71,129.94,62.11,-51.23
2011,New York,PDI_16,Gastroenteritis,82.95,121.9,67.89,-38.94
2012,New York,PDI_16,Gastroenteritis,92.57,115.5,70.44,-22.93
2009,New York,PDI_18,Urinary Tract Infection,36.46,56.74,28.11,-20.28
2010,New York,PDI_18,Urinary Tract Infection,27.05,53.99,21.08,-26.94
2011,New York,PDI_18,Urinary Tract Infection,32.66,51.12,25.27,-18.46
2012,New York,PDI_18,Urinary Tract Infection,27.34,44.15,21.07,-16.81
2009,New York,PDI_90,Pediatric Quality Overall Composite,335,322.62,277.72,12.38
2010,New York,PDI_90,Pediatric Quality Overall Composite,284.33,280.52,238.76,3.81
2011,New York,PDI_90,Pediatric Quality Overall Composite,313.8,271.49,267.26,42.31
2012,New York,PDI_90,Pediatric Quality Overall Composite,363.11,271.73,300.23,91.39
2009,New York,PDI_91,Pediatric Quality Acute Composite,70.65,83.9,61.67,-13.25
2010,New York,PDI_91,Pediatric Quality Acute Composite,55.14,81.27,48.4,-26.13
2011,New York,PDI_91,Pediatric Quality Acute Composite,67.92,72.61,59.66,-4.69
2012,New York,PDI_91,Pediatric Quality Acute Composite,71.55,68.13,60.82,3.42
2009,New York,PDI_92,Pediatric Quality Chronic Composite,264.35,238.73,215.08,25.63
2010,New York,PDI_92,Pediatric Quality Chronic Composite,229.19,199.24,188.9,29.95
2011,New York,PDI_92,Pediatric Quality Chronic Composite,245.89,198.88,207.02,47.01
2012,New York,PDI_92,Pediatric Quality Chronic Composite,291.56,203.6,238.81,87.96
2009,Niagara,PDI_14,Asthma,80.43,168.95,115.61,-88.52
2010,Niagara,PDI_14,Asthma,58.28,142.69,84.04,-84.41
2011,Niagara,PDI_14,Asthma,42.16,148.19,58.69,-106.03
2012,Niagara,PDI_14,Asthma,56.08,162.18,72.75,-106.1
2009,Niagara,PDI_15,Diabetes Short-term Complications,12.43,25.88,13.31,-13.45
2010,Niagara,PDI_15,Diabetes Short-term Complications,25.37,23.23,27,2.13
2011,Niagara,PDI_15,Diabetes Short-term Complications,38.34,23.84,40.13,14.51
2012,Niagara,PDI_15,Diabetes Short-term Complications,21.26,23.08,21.87,-1.82
2009,Niagara,PDI_16,Gastroenteritis,89.75,112.37,104.1,-22.62
2010,Niagara,PDI_16,Gastroenteritis,44.37,81.71,55.68,-37.34
2011,Niagara,PDI_16,Gastroenteritis,64.61,87.32,73.82,-22.71
2012,Niagara,PDI_16,Gastroenteritis,42.73,75.56,49.7,-32.84
2009,Niagara,PDI_18,Urinary Tract Infection,15.32,32.92,20.37,-17.59
2010,Niagara,PDI_18,Urinary Tract Infection,28.84,32.82,36.98,-3.98
2011,Niagara,PDI_18,Urinary Tract Infection,15.6,31.07,19.85,-15.47
2012,Niagara,PDI_18,Urinary Tract Infection,10.68,30.83,11.79,-20.15
2009,Niagara,PDI_90,Pediatric Quality Overall Composite,99.42,201.11,132.22,-101.69
2010,Niagara,PDI_90,Pediatric Quality Overall Composite,107.8,178.06,142.61,-70.26
2011,Niagara,PDI_90,Pediatric Quality Overall Composite,89.47,181.93,113.71,-92.46
2012,Niagara,PDI_90,Pediatric Quality Overall Composite,85.05,183.67,104.03,-98.63
2009,Niagara,PDI_91,Pediatric Quality Acute Composite,40.39,62.87,47.05,-22.48
2010,Niagara,PDI_91,Pediatric Quality Acute Composite,47.56,62.13,54.6,-14.58
2011,Niagara,PDI_91,Pediatric Quality Acute Composite,31.95,57.15,35.66,-25.2
2012,Niagara,PDI_91,Pediatric Quality Acute Composite,39.49,53.62,42.65,-14.13
2009,Niagara,PDI_92,Pediatric Quality Chronic Composite,59.03,138.24,82.94,-79.21
2010,Niagara,PDI_92,Pediatric Quality Chronic Composite,60.24,115.92,85.34,-55.68
2011,Niagara,PDI_92,Pediatric Quality Chronic Composite,57.52,124.78,77.18,-67.26
2012,Niagara,PDI_92,Pediatric Quality Chronic Composite,45.56,130.06,58.42,-84.5
2009,Oneida,PDI_14,Asthma,127.32,159.56,193.78,-32.23
2010,Oneida,PDI_14,Asthma,129.82,133.88,199.53,-4.06
2011,Oneida,PDI_14,Asthma,75.16,136.9,113.24,-61.75
2012,Oneida,PDI_14,Asthma,61.11,143.14,89.82,-82.03
2009,Oneida,PDI_15,Diabetes Short-term Complications,37.53,24.82,41.92,12.71
2010,Oneida,PDI_15,Diabetes Short-term Complications,47.48,22.28,52.69,25.19
2011,Oneida,PDI_15,Diabetes Short-term Complications,32.47,22.8,35.52,9.67
2012,Oneida,PDI_15,Diabetes Short-term Complications,19.48,20.79,22.24,-1.31
2009,Oneida,PDI_16,Gastroenteritis,193.77,113.85,221.82,79.91
2010,Oneida,PDI_16,Gastroenteritis,110.98,81.58,139.49,29.4
2011,Oneida,PDI_16,Gastroenteritis,97.92,87.13,112.12,10.79
2012,Oneida,PDI_16,Gastroenteritis,75.55,71.74,92.56,3.81
2009,Oneida,PDI_18,Urinary Tract Infection,38.35,33.55,50.01,4.81
2010,Oneida,PDI_18,Urinary Tract Infection,36.99,33.49,46.49,3.5
2011,Oneida,PDI_18,Urinary Tract Infection,40.8,31.46,51.29,9.34
2012,Oneida,PDI_18,Urinary Tract Infection,42.62,28.97,50.05,13.65
2009,Oneida,PDI_90,Pediatric Quality Overall Composite,202.09,191.97,281.55,10.12
2010,Oneida,PDI_90,Pediatric Quality Overall Composite,192.87,168.72,269.27,24.15
2011,Oneida,PDI_90,Pediatric Quality Overall Composite,141.67,170.4,192.24,-28.73
2012,Oneida,PDI_90,Pediatric Quality Overall Composite,100.16,162.98,138.08,-62.82
2009,Oneida,PDI_91,Pediatric Quality Acute Composite,98.16,61.95,116.03,36.21
2010,Oneida,PDI_91,Pediatric Quality Acute Composite,91.98,60.89,107.77,31.1
2011,Oneida,PDI_91,Pediatric Quality Acute Composite,61.98,55.91,70.71,6.08
2012,Oneida,PDI_91,Pediatric Quality Acute Composite,50.08,48.98,59.21,1.1
2009,Oneida,PDI_92,Pediatric Quality Chronic Composite,103.93,130.02,155.26,-26.09
2010,Oneida,PDI_92,Pediatric Quality Chronic Composite,100.88,107.83,153.64,-6.95
2011,Oneida,PDI_92,Pediatric Quality Chronic Composite,79.69,114.5,116.54,-34.81
2012,Oneida,PDI_92,Pediatric Quality Chronic Composite,50.08,114,73.26,-63.92
2009,Onondaga,PDI_14,Asthma,80.89,197.82,99.3,-116.93
2010,Onondaga,PDI_14,Asthma,65.49,168.5,79.98,-103
2011,Onondaga,PDI_14,Asthma,45.99,172.89,54.87,-126.9
2012,Onondaga,PDI_14,Asthma,60.39,188.04,67.56,-127.66
2009,Onondaga,PDI_15,Diabetes Short-term Complications,53.91,27.1,55.14,26.81
2010,Onondaga,PDI_15,Diabetes Short-term Complications,21.12,24.57,21.26,-3.45
2011,Onondaga,PDI_15,Diabetes Short-term Complications,29.6,25,29.54,4.6
2012,Onondaga,PDI_15,Diabetes Short-term Complications,38.73,24.24,37.92,14.48
2009,Onondaga,PDI_16,Gastroenteritis,33.6,118.95,36.82,-85.35
2010,Onondaga,PDI_16,Gastroenteritis,40.77,89.22,46.85,-48.46
2011,Onondaga,PDI_16,Gastroenteritis,56.21,92.41,60.68,-36.2
2012,Onondaga,PDI_16,Gastroenteritis,34.2,80.22,37.47,-46.02
2009,Onondaga,PDI_18,Urinary Tract Infection,18.24,36.16,22.07,-17.92
2010,Onondaga,PDI_18,Urinary Tract Infection,20.38,35.68,24.04,-15.3
2011,Onondaga,PDI_18,Urinary Tract Infection,24.23,33.87,28.29,-9.64
2012,Onondaga,PDI_18,Urinary Tract Infection,21.26,32.07,22.55,-10.82
2009,Onondaga,PDI_90,Pediatric Quality Overall Composite,134.09,225.26,159.2,-91.18
2010,Onondaga,PDI_90,Pediatric Quality Overall Composite,104.2,200.48,122.43,-96.28
2011,Onondaga,PDI_90,Pediatric Quality Overall Composite,101.47,201.53,116.42,-100.06
2012,Onondaga,PDI_90,Pediatric Quality Overall Composite,105.49,204.97,115.63,-99.48
2009,Onondaga,PDI_91,Pediatric Quality Acute Composite,29.03,66.02,32.2,-36.99
2010,Onondaga,PDI_91,Pediatric Quality Acute Composite,38.02,65.37,41.49,-27.35
2011,Onondaga,PDI_91,Pediatric Quality Acute Composite,38.05,59.36,40.89,-21.31
2012,Onondaga,PDI_91,Pediatric Quality Acute Composite,29.38,55.47,30.67,-26.09
2009,Onondaga,PDI_92,Pediatric Quality Chronic Composite,105.06,159.24,128.14,-54.18
2010,Onondaga,PDI_92,Pediatric Quality Chronic Composite,66.18,135.11,80.44,-68.93
2011,Onondaga,PDI_92,Pediatric Quality Chronic Composite,63.42,142.18,74.69,-78.76
2012,Onondaga,PDI_92,Pediatric Quality Chronic Composite,76.12,149.5,84.9,-73.38
2009,Ontario,PDI_14,Asthma,96.97,132.73,177.41,-35.76
2010,Ontario,PDI_14,Asthma,32.64,110.44,60.81,-77.8
2011,Ontario,PDI_14,Asthma,8.96,111.87,16.53,-102.91
2012,Ontario,PDI_14,Asthma,12.67,111.7,23.87,-99.03
2009,Ontario,PDI_15,Diabetes Short-term Complications,6.24,23.75,7.28,-17.51
2010,Ontario,PDI_15,Diabetes Short-term Complications,19.04,21.11,22.3,-2.07
2011,Ontario,PDI_15,Diabetes Short-term Complications,12.17,21.72,13.97,-9.56
2012,Ontario,PDI_15,Diabetes Short-term Complications,0,19.63,0,-19.63
2009,Ontario,PDI_16,Gastroenteritis,43.97,107.12,53.5,-63.15
2010,Ontario,PDI_16,Gastroenteritis,39.93,74.73,54.79,-34.8
2011,Ontario,PDI_16,Gastroenteritis,25.6,81.23,31.44,-55.64
2012,Ontario,PDI_16,Gastroenteritis,16.1,63.69,22.22,-47.59
2009,Ontario,PDI_18,Urinary Tract Infection,8.79,30.99,12.42,-22.19
2010,Ontario,PDI_18,Urinary Tract Infection,22.19,31.23,29.9,-9.04
2011,Ontario,PDI_18,Urinary Tract Infection,17.06,28.91,23.34,-11.85
2012,Ontario,PDI_18,Urinary Tract Infection,12.08,26.59,15.46,-14.51
2009,Ontario,PDI_90,Pediatric Quality Overall Composite,112.25,171.54,175.01,-59.29
2010,Ontario,PDI_90,Pediatric Quality Overall Composite,95.2,150.08,149.41,-54.88
2011,Ontario,PDI_90,Pediatric Quality Overall Composite,54.75,151.42,83.61,-96.66
2012,Ontario,PDI_90,Pediatric Quality Overall Composite,22.78,140.36,36.46,-117.58
2009,Ontario,PDI_91,Pediatric Quality Acute Composite,37.42,59.76,45.85,-22.35
